,Element ID,Element Name,IWA ID,IWA Title,DWA ID,DWA Title_x,O*NET-SOC Code,Title,Task ID,Task,DWA Title_y,Date,Domain Source
4608,4.A.2.a.4,Analyzing Data or Information,4.A.2.a.4.I01,Analyze environmental or geospatial data.,4.A.2.a.4.I01.D07,"Analyze physical, survey, or geographic data.",17-2051.02,Water/Wastewater Engineers,16341.0,"Analyze storm water or floodplain drainage systems to control erosion, stabilize river banks, repair channel streams, or design bridges.","Analyze physical, survey, or geographic data.",03/2014,Analyst
4609,4.A.2.a.4,Analyzing Data or Information,4.A.2.a.4.I01,Analyze environmental or geospatial data.,4.A.2.a.4.I01.D07,"Analyze physical, survey, or geographic data.",17-2171.00,Petroleum Engineers,3581.0,Analyze data to recommend placement of wells and supplementary processes to enhance production.,"Analyze physical, survey, or geographic data.",03/2014,Analyst
4905,4.A.2.a.4,Analyzing Data or Information,4.A.2.a.4.I06,Analyze health or medical data.,4.A.2.a.4.I06.D06,Analyze quantitative data to determine effectiveness of treatments or therapies.,29-1128.00,Exercise Physiologists,19195.0,Interpret exercise program participant data to evaluate progress or identify needed program changes.,Analyze quantitative data to determine effectiveness of treatments or therapies.,03/2014,Analyst
4906,4.A.2.a.4,Analyzing Data or Information,4.A.2.a.4.I06,Analyze health or medical data.,4.A.2.a.4.I06.D06,Analyze quantitative data to determine effectiveness of treatments or therapies.,29-1129.01,Art Therapists,19139.0,Analyze data to determine the effectiveness of treatments or therapy approaches.,Analyze quantitative data to determine effectiveness of treatments or therapies.,03/2014,Analyst
4907,4.A.2.a.4,Analyzing Data or Information,4.A.2.a.4.I06,Analyze health or medical data.,4.A.2.a.4.I06.D06,Analyze quantitative data to determine effectiveness of treatments or therapies.,29-1129.02,Music Therapists,19165.0,Analyze data to determine the effectiveness of specific treatments or therapy approaches.,Analyze quantitative data to determine effectiveness of treatments or therapies.,03/2014,Analyst
4908,4.A.2.a.4,Analyzing Data or Information,4.A.2.a.4.I06,Analyze health or medical data.,4.A.2.a.4.I06.D06,Analyze quantitative data to determine effectiveness of treatments or therapies.,29-1223.00,Psychiatrists,1835.0,Review and evaluate treatment procedures and outcomes of other psychiatrists or medical professionals.,Analyze quantitative data to determine effectiveness of treatments or therapies.,03/2014,Analyst
4909,4.A.2.a.4,Analyzing Data or Information,4.A.2.a.4.I06,Analyze health or medical data.,4.A.2.a.4.I06.D06,Analyze quantitative data to determine effectiveness of treatments or therapies.,29-1229.05,Preventive Medicine Physicians,17216.0,Evaluate the effectiveness of prescribed risk reduction measures or other interventions.,Analyze quantitative data to determine effectiveness of treatments or therapies.,03/2014,Analyst
4910,4.A.2.a.4,Analyzing Data or Information,4.A.2.a.4.I06,Analyze health or medical data.,4.A.2.a.4.I06.D06,Analyze quantitative data to determine effectiveness of treatments or therapies.,29-2061.00,Licensed Practical and Licensed Vocational Nurses,516.0,"Evaluate nursing intervention outcomes, conferring with other healthcare team members as necessary.",Analyze quantitative data to determine effectiveness of treatments or therapies.,03/2014,Analyst
4911,4.A.2.a.4,Analyzing Data or Information,4.A.2.a.4.I06,Analyze health or medical data.,4.A.2.a.4.I06.D06,Analyze quantitative data to determine effectiveness of treatments or therapies.,29-9099.01,Midwives,17491.0,Compile and evaluate clinical practice statistics.,Analyze quantitative data to determine effectiveness of treatments or therapies.,03/2014,Analyst
6067,4.A.2.b.2,Thinking Creatively,4.A.2.b.2.I02,Design computer or information systems or applications.,4.A.2.b.2.I02.D02,Develop computer or information systems.,11-3021.00,Computer and Information Systems Managers,966.0,"Manage backup, security and user help systems.",Develop computer or information systems.,03/2014,Analyst
6068,4.A.2.b.2,Thinking Creatively,4.A.2.b.2.I02,Design computer or information systems or applications.,4.A.2.b.2.I02.D02,Develop computer or information systems.,11-3021.00,Computer and Information Systems Managers,971.0,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",Develop computer or information systems.,03/2014,Analyst
6069,4.A.2.b.2,Thinking Creatively,4.A.2.b.2.I02,Design computer or information systems or applications.,4.A.2.b.2.I02.D02,Develop computer or information systems.,11-9111.00,Medical and Health Services Managers,49.0,"Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports.",Develop computer or information systems.,03/2014,Analyst
6070,4.A.2.b.2,Thinking Creatively,4.A.2.b.2.I02,Design computer or information systems or applications.,4.A.2.b.2.I02.D02,Develop computer or information systems.,11-9199.02,Compliance Managers,15636.0,Verify that software technology is in place to adequately provide oversight and monitoring in all required areas.,Develop computer or information systems.,03/2014,Analyst
6071,4.A.2.b.2,Thinking Creatively,4.A.2.b.2.I02,Design computer or information systems or applications.,4.A.2.b.2.I02.D02,Develop computer or information systems.,11-9199.08,Loss Prevention Managers,15785.0,"Maintain databases such as bad check logs, reports on multiple offenders, and alarm activation lists.",Develop computer or information systems.,03/2014,Analyst
6072,4.A.2.b.2,Thinking Creatively,4.A.2.b.2.I02,Design computer or information systems or applications.,4.A.2.b.2.I02.D02,Develop computer or information systems.,15-1299.04,Penetration Testers,21747.0,Configure information systems to incorporate principles of least functionality and least access.,Develop computer or information systems.,11/2020,Analyst
15828,4.A.3.b.6,Documenting/Recording Information,4.A.3.b.6.I12,Prepare informational or instructional materials.,4.A.3.b.6.I12.D05,Write informational material.,13-2022.00,Appraisers of Personal and Business Property,21548.0,Write descriptions of the property being appraised.,Write informational material.,11/2020,Analyst
15829,4.A.3.b.6,Documenting/Recording Information,4.A.3.b.6.I12,Prepare informational or instructional materials.,4.A.3.b.6.I12.D05,Write informational material.,27-1011.00,Art Directors,295.0,"Mark up, paste, and complete layouts and write typography instructions to prepare materials for typesetting or printing.",Write informational material.,03/2014,Analyst
15830,4.A.3.b.6,Documenting/Recording Information,4.A.3.b.6.I12,Prepare informational or instructional materials.,4.A.3.b.6.I12.D05,Write informational material.,27-1022.00,Fashion Designers,13015.0,"Sketch rough and detailed drawings of apparel or accessories, and write specifications such as color schemes, construction, material types, and accessory requirements.",Write informational material.,03/2014,Analyst
15831,4.A.3.b.6,Documenting/Recording Information,4.A.3.b.6.I12,Prepare informational or instructional materials.,4.A.3.b.6.I12.D05,Write informational material.,27-2012.00,Producers and Directors,22514.0,Write and edit news stories from information collected by reporters and other sources.,Write informational material.,11/2020,Analyst
15832,4.A.3.b.6,Documenting/Recording Information,4.A.3.b.6.I12,Prepare informational or instructional materials.,4.A.3.b.6.I12.D05,Write informational material.,27-3023.00,"News Analysts, Reporters, and Journalists",22623.0,"Write commentaries, columns, or scripts, using computers.",Write informational material.,11/2020,Analyst
15833,4.A.3.b.6,Documenting/Recording Information,4.A.3.b.6.I12,Prepare informational or instructional materials.,4.A.3.b.6.I12.D05,Write informational material.,27-3023.00,"News Analysts, Reporters, and Journalists",22650.0,"Write online blog entries that address news developments or offer additional information, opinions, or commentary on news events.",Write informational material.,11/2020,Analyst
15834,4.A.3.b.6,Documenting/Recording Information,4.A.3.b.6.I12,Prepare informational or instructional materials.,4.A.3.b.6.I12.D05,Write informational material.,27-3023.00,"News Analysts, Reporters, and Journalists",22652.0,"Write columns, editorials, commentaries, or reviews that interpret events or offer opinions.",Write informational material.,11/2020,Analyst
15835,4.A.3.b.6,Documenting/Recording Information,4.A.3.b.6.I12,Prepare informational or instructional materials.,4.A.3.b.6.I12.D05,Write informational material.,27-3031.00,Public Relations Specialists,19811.0,"Develop plans or materials to communicate organizational activities that are beneficial to the environment, public safety, or other important social issues.",Write informational material.,03/2014,Analyst
15836,4.A.3.b.6,Documenting/Recording Information,4.A.3.b.6.I12,Prepare informational or instructional materials.,4.A.3.b.6.I12.D05,Write informational material.,27-3031.00,Public Relations Specialists,20557.0,"Prepare or edit organizational publications, such as employee newsletters or stockholders' reports, for internal or external audiences.",Write informational material.,07/2014,Analyst
15837,4.A.3.b.6,Documenting/Recording Information,4.A.3.b.6.I12,Prepare informational or instructional materials.,4.A.3.b.6.I12.D05,Write informational material.,27-3041.00,Editors,21000.0,"Write text, such as stories, articles, editorials, or newsletters.",Write informational material.,07/2017,Analyst
15838,4.A.3.b.6,Documenting/Recording Information,4.A.3.b.6.I12,Prepare informational or instructional materials.,4.A.3.b.6.I12.D05,Write informational material.,27-3042.00,Technical Writers,20243.0,Develop or maintain online help documentation.,Write informational material.,03/2014,Analyst
15839,4.A.3.b.6,Documenting/Recording Information,4.A.3.b.6.I12,Prepare informational or instructional materials.,4.A.3.b.6.I12.D05,Write informational material.,27-4011.00,Audio and Video Technicians,4005.0,"Develop manuals, texts, workbooks, or related materials for use in conjunction with production materials or for training.",Write informational material.,03/2014,Analyst
15840,4.A.3.b.6,Documenting/Recording Information,4.A.3.b.6.I12,Prepare informational or instructional materials.,4.A.3.b.6.I12.D05,Write informational material.,27-4021.00,Photographers,20560.0,Write photograph captions.,Write informational material.,07/2014,Analyst
15841,4.A.3.b.6,Documenting/Recording Information,4.A.3.b.6.I12,Prepare informational or instructional materials.,4.A.3.b.6.I12.D05,Write informational material.,27-4031.00,"Camera Operators, Television, Video, and Film",18671.0,Write new scripts for broadcasts.,Write informational material.,03/2014,Analyst
15842,4.A.3.b.6,Documenting/Recording Information,4.A.3.b.6.I12,Prepare informational or instructional materials.,4.A.3.b.6.I12.D05,Write informational material.,39-4021.00,Funeral Attendants,20607.0,Prepare obituaries for newspapers.,Write informational material.,08/2021,Analyst
16247,4.A.3.b.6,Documenting/Recording Information,4.A.3.b.6.I16,Write material for artistic or commercial purposes.,4.A.3.b.6.I16.D03,Write advertising or promotional material.,27-1024.00,Graphic Designers,23972.0,Write or edit copy for clients.,Write advertising or promotional material.,08/2023,Analyst
16248,4.A.3.b.6,Documenting/Recording Information,4.A.3.b.6.I16,Write material for artistic or commercial purposes.,4.A.3.b.6.I16.D03,Write advertising or promotional material.,27-3031.00,Public Relations Specialists,20554.0,Write press releases or other media communications to promote clients.,Write advertising or promotional material.,07/2014,Analyst
16249,4.A.3.b.6,Documenting/Recording Information,4.A.3.b.6.I16,Write material for artistic or commercial purposes.,4.A.3.b.6.I16.D03,Write advertising or promotional material.,27-3031.00,Public Relations Specialists,23951.0,Post and update content on the company's Web site and social media outlets.,Write advertising or promotional material.,08/2022,Analyst
16250,4.A.3.b.6,Documenting/Recording Information,4.A.3.b.6.I16,Write material for artistic or commercial purposes.,4.A.3.b.6.I16.D03,Write advertising or promotional material.,27-3043.00,Writers and Authors,22655.0,Vary language and tone of messages based on product and medium.,Write advertising or promotional material.,11/2020,Analyst
16251,4.A.3.b.6,Documenting/Recording Information,4.A.3.b.6.I16,Write material for artistic or commercial purposes.,4.A.3.b.6.I16.D03,Write advertising or promotional material.,27-3043.00,Writers and Authors,22657.0,"Write articles, bulletins, sales letters, speeches, and other related informative, marketing and promotional material.",Write advertising or promotional material.,11/2020,Analyst
16252,4.A.3.b.6,Documenting/Recording Information,4.A.3.b.6.I16,Write material for artistic or commercial purposes.,4.A.3.b.6.I16.D03,Write advertising or promotional material.,27-3043.00,Writers and Authors,22659.0,"Invent names for products and write the slogans that appear on packaging, brochures and other promotional material.",Write advertising or promotional material.,11/2020,Analyst
16253,4.A.3.b.6,Documenting/Recording Information,4.A.3.b.6.I16,Write material for artistic or commercial purposes.,4.A.3.b.6.I16.D03,Write advertising or promotional material.,27-3043.00,Writers and Authors,22670.0,"Write advertising material for use by publication, broadcast, or internet media to promote the sale of goods and services.",Write advertising or promotional material.,11/2020,Analyst
16254,4.A.3.b.6,Documenting/Recording Information,4.A.3.b.6.I16,Write material for artistic or commercial purposes.,4.A.3.b.6.I16.D03,Write advertising or promotional material.,27-3043.00,Writers and Authors,22672.0,"Write to customers in their terms and on their level so that the script, story, or advertisement message is more readily received.",Write advertising or promotional material.,11/2020,Analyst
16255,4.A.3.b.6,Documenting/Recording Information,4.A.3.b.6.I16,Write material for artistic or commercial purposes.,4.A.3.b.6.I16.D03,Write advertising or promotional material.,35-3023.01,Baristas,17595.0,Create signs to advertise store products or events.,Write advertising or promotional material.,08/2021,Analyst
22150,4.A.4.c.1,Performing Administrative Activities,4.A.4.c.1.I01,Perform administrative or clerical activities.,4.A.4.c.1.I01.D02,File documents or records.,27-3092.00,Court Reporters and Simultaneous Captioners,8658.0,File a legible transcript of records of a court case with the court clerk's office.,File documents or records.,08/2020,Analyst
22151,4.A.4.c.1,Performing Administrative Activities,4.A.4.c.1.I01,Perform administrative or clerical activities.,4.A.4.c.1.I01.D02,File documents or records.,39-4011.00,Embalmers,4509.0,"Assist coroners at death scenes or at autopsies, file police reports, and testify at inquests or in court, if employed by a coroner.",File documents or records.,08/2021,Analyst
22152,4.A.4.c.1,Performing Administrative Activities,4.A.4.c.1.I01,Perform administrative or clerical activities.,4.A.4.c.1.I01.D02,File documents or records.,43-2011.00,"Switchboard Operators, Including Answering Service",4641.0,Stamp messages with time and date and file them appropriately.,File documents or records.,03/2014,Analyst
22153,4.A.4.c.1,Performing Administrative Activities,4.A.4.c.1.I01,Perform administrative or clerical activities.,4.A.4.c.1.I01.D02,File documents or records.,43-3011.00,Bill and Account Collectors,2479.0,"Sort and file correspondence and perform miscellaneous clerical duties, such as answering correspondence and writing reports.",File documents or records.,03/2014,Analyst
22154,4.A.4.c.1,Performing Administrative Activities,4.A.4.c.1.I01,Perform administrative or clerical activities.,4.A.4.c.1.I01.D02,File documents or records.,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",2498.0,"Perform general office duties, such as filing, answering telephones, and handling routine correspondence.",File documents or records.,03/2014,Analyst
22155,4.A.4.c.1,Performing Administrative Activities,4.A.4.c.1.I01,Perform administrative or clerical activities.,4.A.4.c.1.I01.D02,File documents or records.,43-3051.00,Payroll and Timekeeping Clerks,23954.0,Prepare and file payroll tax returns.,File documents or records.,08/2022,Analyst
22156,4.A.4.c.1,Performing Administrative Activities,4.A.4.c.1.I01,Perform administrative or clerical activities.,4.A.4.c.1.I01.D02,File documents or records.,43-3071.00,Tellers,2565.0,Sort and file deposit slips and checks.,File documents or records.,03/2014,Analyst
22157,4.A.4.c.1,Performing Administrative Activities,4.A.4.c.1.I01,Perform administrative or clerical activities.,4.A.4.c.1.I01.D02,File documents or records.,43-4011.00,Brokerage Clerks,8149.0,"File, type, or operate standard office machines.",File documents or records.,03/2014,Analyst
22158,4.A.4.c.1,Performing Administrative Activities,4.A.4.c.1.I01,Perform administrative or clerical activities.,4.A.4.c.1.I01.D02,File documents or records.,43-4041.00,"Credit Authorizers, Checkers, and Clerks",23302.0,File sales slips in customers' ledgers for billing purposes.,File documents or records.,11/2020,Analyst
22159,4.A.4.c.1,Performing Administrative Activities,4.A.4.c.1.I01,Perform administrative or clerical activities.,4.A.4.c.1.I01.D02,File documents or records.,43-4071.00,File Clerks,2593.0,Add new material to file records or create new records as necessary.,File documents or records.,03/2014,Analyst
22160,4.A.4.c.1,Performing Administrative Activities,4.A.4.c.1.I01,Perform administrative or clerical activities.,4.A.4.c.1.I01.D02,File documents or records.,43-4151.00,Order Clerks,2677.0,"File copies of orders received, or post orders on records.",File documents or records.,03/2014,Analyst
22161,4.A.4.c.1,Performing Administrative Activities,4.A.4.c.1.I01,Perform administrative or clerical activities.,4.A.4.c.1.I01.D02,File documents or records.,43-4171.00,Receptionists and Information Clerks,749.0,File and maintain records.,File documents or records.,03/2014,Analyst
22162,4.A.4.c.1,Performing Administrative Activities,4.A.4.c.1.I01,Perform administrative or clerical activities.,4.A.4.c.1.I01.D02,File documents or records.,43-5021.00,Couriers and Messengers,7023.0,"Perform general office or clerical work, such as filing materials, operating duplicating machines, or running errands.",File documents or records.,03/2014,Analyst
22163,4.A.4.c.1,Performing Administrative Activities,4.A.4.c.1.I01,Perform administrative or clerical activities.,4.A.4.c.1.I01.D02,File documents or records.,43-6011.00,Executive Secretaries and Executive Administrative Assistants,2774.0,"File and retrieve corporate documents, records, and reports.",File documents or records.,03/2014,Analyst
22164,4.A.4.c.1,Performing Administrative Activities,4.A.4.c.1.I01,Perform administrative or clerical activities.,4.A.4.c.1.I01.D02,File documents or records.,43-9061.00,"Office Clerks, General",828.0,"Compile, copy, sort, and file records of office activities, business transactions, and other activities.",File documents or records.,03/2014,Analyst
22165,4.A.4.c.1,Performing Administrative Activities,4.A.4.c.1.I01,Perform administrative or clerical activities.,4.A.4.c.1.I01.D02,File documents or records.,43-9081.00,Proofreaders and Copy Markers,20908.0,"Archive documents, conduct research, and read copy, using the internet and various computer programs.",File documents or records.,07/2016,Analyst
22166,4.A.4.c.1,Performing Administrative Activities,4.A.4.c.1.I01,Perform administrative or clerical activities.,4.A.4.c.1.I01.D02,File documents or records.,43-9111.00,Statistical Assistants,9795.0,"File data and related information, and maintain and update databases.",File documents or records.,03/2014,Analyst
22280,4.A.4.c.1,Performing Administrative Activities,4.A.4.c.1.I01,Perform administrative or clerical activities.,4.A.4.c.1.I01.D09,Prepare administrative documents.,39-4021.00,Funeral Attendants,4516.0,Obtain burial permits and register deaths.,Prepare administrative documents.,03/2014,Analyst
22281,4.A.4.c.1,Performing Administrative Activities,4.A.4.c.1.I01,Perform administrative or clerical activities.,4.A.4.c.1.I01.D09,Prepare administrative documents.,39-6011.00,Baggage Porters and Bellhops,2329.0,Complete baggage insurance forms.,Prepare administrative documents.,03/2014,Analyst
22282,4.A.4.c.1,Performing Administrative Activities,4.A.4.c.1.I01,Perform administrative or clerical activities.,4.A.4.c.1.I01.D09,Prepare administrative documents.,39-9041.00,Residential Advisors,6988.0,Process contract cancellations for students who are unable to follow residence hall policies and procedures.,Prepare administrative documents.,03/2014,Analyst
