,task_id,title,label_JE,why,task,task_type
88,7249,"Insurance Appraisers, Auto Damage",1,,Evaluate practicality of repair as opposed to payment of market value of vehicle before accident.,Core
89,7247,"Insurance Appraisers, Auto Damage",0,,Review repair cost estimates with automobile repair shop to secure agreement on cost of repairs.,Core
90,7248,"Insurance Appraisers, Auto Damage",0,,"Examine damaged vehicle to determine extent of structural, body, mechanical, electrical, or interior damage.",Core
91,7251,"Insurance Appraisers, Auto Damage",1,,Prepare insurance forms to indicate repair cost estimates and recommendations.,Core
92,7246,"Insurance Appraisers, Auto Damage",1,,"Estimate parts and labor to repair damage, using standard automotive labor and parts cost manuals and knowledge of automotive repair.",Core
93,7250,"Insurance Appraisers, Auto Damage",1,,Determine salvage value on total-loss vehicle.,Core
94,7252,"Insurance Appraisers, Auto Damage",0,,Arrange to have damage appraised by another appraiser to resolve disagreement with shop on repair cost.,Core
95,21446,Compliance Officers,1,,Warn violators of infractions or penalties.,Core
96,21447,Compliance Officers,1,,"Evaluate applications, records, or documents to gather information about eligibility or liability issues.",Core
97,21448,Compliance Officers,0,,"Advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.",Core
98,21449,Compliance Officers,1,,"Prepare reports of activities, evaluations, recommendations, or decisions.",Core
99,21450,Compliance Officers,1,,Report law or regulation violations to appropriate boards or agencies.,Core
100,21451,Compliance Officers,0,,"Confer with or interview officials, technical or professional specialists, or applicants to obtain information or to clarify facts relevant to licensing decisions.",Core
101,21452,Compliance Officers,1,,Issue licenses to individuals meeting standards.,Supplemental
102,21453,Compliance Officers,0,,Collect fees for licenses.,Supplemental
103,21456,Compliance Officers,1,,Score tests and observe equipment operation and control to rate ability of applicants.,Supplemental
104,21457,Compliance Officers,1,,Prepare correspondence to inform concerned parties of licensing decisions or appeals processes.,Supplemental
105,21458,Compliance Officers,1,,Identify compliance issues that require follow-up or investigation.,
106,21459,Compliance Officers,1,,"Keep informed regarding pending industry changes, trends, or best practices.",
107,21460,Compliance Officers,1,,Provide assistance to internal or external auditors in compliance reviews.,
108,21461,Compliance Officers,1,,"Verify that all firm and regulatory policies and procedures have been documented, implemented, and communicated.",
109,10829,Environmental Compliance Inspectors,1,,"Determine the nature of code violations and actions to be taken, and issue written notices of violation, participating in enforcement hearings, as necessary.",Core
110,10831,Environmental Compliance Inspectors,1,,"Prepare, organize, and maintain inspection records.",Core
111,10835,Environmental Compliance Inspectors,1,,"Investigate complaints and suspected violations regarding illegal dumping, pollution, pesticides, product quality, or labeling laws.",Core
112,10841,Environmental Compliance Inspectors,0,,"Determine which sites and violation reports to investigate, and coordinate compliance and enforcement activities with other government agencies.",Core
113,10837,Environmental Compliance Inspectors,1,,"Inform individuals and groups of pollution control regulations and inspection findings, and explain how problems can be corrected.",Core
114,10843,Environmental Compliance Inspectors,0,,"Learn and observe proper safety precautions, rules, regulations, and practices so that unsafe conditions can be recognized and proper safety protocols implemented.",Core
115,10834,Environmental Compliance Inspectors,0,,"Monitor follow-up actions in cases where violations were found, and review compliance monitoring reports.",Core
116,10830,Environmental Compliance Inspectors,1,,"Examine permits, licenses, applications, and records to ensure compliance with licensing requirements.",Core
117,10833,Environmental Compliance Inspectors,0,,"Prepare written, oral, tabular, and graphic reports summarizing requirements and regulations, including enforcement and chain of custody documentation.",Core
118,10842,Environmental Compliance Inspectors,0,,"Observe and record field conditions, gathering, interpreting, and reporting data such as flow meter readings and chemical levels.",Core
119,10840,Environmental Compliance Inspectors,1,,Research and keep informed of pertinent information and developments in areas such as EPA laws and regulations.,Core
120,10850,Environmental Compliance Inspectors,0,,"Participate in the development of spill prevention programs and hazardous waste rules and regulations, and recommend corrective actions for hazardous waste problems.",Core
121,10846,Environmental Compliance Inspectors,0,,"Analyze and implement state, federal or local requirements as necessary to maintain approved pretreatment, pollution prevention, and storm water runoff programs.",Supplemental
122,10844,Environmental Compliance Inspectors,1,,Evaluate label information for accuracy and conformance to regulatory requirements.,Supplemental
123,10853,Environmental Compliance Inspectors,1,,"Respond to questions and inquiries, such as those concerning service charges and capacity fees, or refer them to supervisors.",Supplemental
124,10849,Environmental Compliance Inspectors,1,,"Research and perform calculations related to landscape allowances, discharge volumes, production-based and alternative limits, and wastewater strength classifications, making recommendations and completing documentation.",Supplemental
125,10845,Environmental Compliance Inspectors,0,,"Inform health professionals, property owners, and the public about harmful properties and related problems of water pollution and contaminated wastewater.",Supplemental
126,10848,Environmental Compliance Inspectors,1,,"Review and evaluate applications for registration of products containing dangerous materials, or for pollution control discharge permits.",Supplemental
127,10852,Environmental Compliance Inspectors,1,,Conduct research on hazardous waste management projects to determine the magnitude of problems and treatment or disposal alternatives and costs.,Supplemental
128,20473,Environmental Compliance Inspectors,1,,Prepare data to calculate sewer service charges and capacity fees.,Supplemental
129,10865,Equal Opportunity Representatives and Officers,1,,Investigate employment practices or alleged violations of laws to document and correct discriminatory factors.,Core
130,20719,Equal Opportunity Representatives and Officers,1,,Prepare reports related to investigations of equal opportunity complaints.,Core
131,10867,Equal Opportunity Representatives and Officers,1,,Study equal opportunity complaints to clarify issues.,Core
132,10866,Equal Opportunity Representatives and Officers,1,,Interpret civil rights laws and equal opportunity regulations for individuals or employers.,Core
133,20722,Equal Opportunity Representatives and Officers,1,,Develop guidelines for nondiscriminatory employment practices.,Core
134,20723,Equal Opportunity Representatives and Officers,0,,Monitor the implementation and impact of guidelines for nondiscriminatory employment practices.,Core
135,10869,Equal Opportunity Representatives and Officers,0,,"Coordinate, monitor, or revise complaint procedures to ensure timely processing and review of complaints.",Core
136,10875,Equal Opportunity Representatives and Officers,0,,"Provide information, technical assistance, or training to supervisors, managers, or employees on topics such as employee supervision, hiring, grievance procedures, or staff development.",Core
137,10871,Equal Opportunity Representatives and Officers,1,,Conduct surveys and evaluate findings to determine if systematic discrimination exists.,Core
138,10870,Equal Opportunity Representatives and Officers,1,,"Prepare reports of selection, survey, or other statistics and recommendations for corrective action.",Supplemental
139,10874,Equal Opportunity Representatives and Officers,0,,"Counsel newly hired members of minority or disadvantaged groups, informing them about details of civil rights laws.",Supplemental
140,10873,Equal Opportunity Representatives and Officers,1,,Review company contracts to determine actions required to meet governmental equal opportunity provisions.,Supplemental
141,10876,Equal Opportunity Representatives and Officers,1,,Verify that all job descriptions are submitted for review and approval and that descriptions meet regulatory standards.,Supplemental
142,10878,Equal Opportunity Representatives and Officers,0,,Consult with community representatives to develop technical assistance agreements in accordance with governmental regulations.,Supplemental
143,10880,Equal Opportunity Representatives and Officers,0,,"Participate in the recruitment of employees through job fairs, career days, or advertising plans.",Supplemental
144,12890,Government Property Inspectors and Investigators,1,,"Prepare correspondence, reports of inspections or investigations, or recommendations for action.",Core
145,12891,Government Property Inspectors and Investigators,1,,"Examine records, reports, or other documents to establish facts or detect discrepancies.",Core
146,20843,Government Property Inspectors and Investigators,0,,"Inspect government property, such as construction sites or public housing, to ensure compliance with contract specifications or legal requirements.",Core
147,20844,Government Property Inspectors and Investigators,0,,Investigate alleged license or permit violations.,Supplemental
148,12894,Government Property Inspectors and Investigators,0,,Inspect manufactured or processed products to ensure compliance with contract specifications or legal requirements.,Supplemental
149,12893,Government Property Inspectors and Investigators,0,,"Collect, identify, evaluate, or preserve case evidence.",Supplemental
150,20845,Government Property Inspectors and Investigators,0,,Investigate applications for special licenses or permits.,Supplemental
151,12899,Government Property Inspectors and Investigators,1,,Recommend legal or administrative action to protect government property.,Supplemental
152,12892,Government Property Inspectors and Investigators,0,,Monitor investigations of suspected offenders to ensure that they are conducted in accordance with constitutional requirements.,Supplemental
153,12901,Government Property Inspectors and Investigators,0,,"Locate and interview plaintiffs, witnesses, or representatives of business or government to gather facts relevant to inspections or alleged violations.",Supplemental
154,8913,Coroners,0,,"Inquire into the cause, manner, and circumstances of human deaths and establish the identities of deceased persons.",Core
155,8915,Coroners,1,,"Complete death certificates, including the assignment of cause and manner of death.",Core
156,8917,Coroners,0,,Collect and document any pertinent medical history information.,Core
157,8928,Coroners,0,,Arrange for the next of kin to be notified of deaths.,Core
158,8919,Coroners,1,,Complete reports and forms required to finalize cases.,Core
159,8918,Coroners,0,,"Observe, record, and preserve any objects or personal property related to deaths, including objects such as medication containers and suicide notes.",Core
160,8926,Coroners,0,,"Inventory personal effects recovered from bodies, such as jewelry or wallets.",Core
161,8916,Coroners,0,,Observe and record the positions and conditions of bodies and related evidence.,Core
162,8924,Coroners,0,,"Locate and document information regarding the next of kin, including their relationship to the deceased and the status of notification attempts.",Core
163,20181,Coroners,0,,"Direct activities of workers conducting autopsies, performing pathological and toxicological analyses, and preparing documents for permanent records.",Core
164,8929,Coroners,0,,"Record the disposition of minor children, as well as details of arrangements made for their care.",Supplemental
165,8930,Coroners,0,,"Collect wills, burial instructions, and other documentation needed for investigations and for handling of the remains.",Supplemental
166,18054,Regulatory Affairs Specialists,0,,Coordinate efforts associated with the preparation of regulatory documents or submissions.,Core
167,18045,Regulatory Affairs Specialists,0,,"Communicate with regulatory agencies regarding pre-submission strategies, potential regulatory pathways, compliance test requirements, or clarification and follow-up of submissions under review.",Core
168,18061,Regulatory Affairs Specialists,0,,Prepare or direct the preparation of additional information or responses as requested by regulatory agencies.,Core
169,18048,Regulatory Affairs Specialists,0,,"Coordinate, prepare, or review regulatory submissions for domestic or international projects.",Core
170,18062,Regulatory Affairs Specialists,1,,Prepare or maintain technical files as necessary to obtain and sustain product approval.,Core
171,18049,Regulatory Affairs Specialists,1,,Interpret regulatory rules or rule changes and ensure that they are communicated through corporate policies and procedures.,Core
172,18055,Regulatory Affairs Specialists,1,,Determine the types of regulatory submissions or internal documentation that are required in situations such as proposed device changes or labeling changes.,Core
173,18067,Regulatory Affairs Specialists,0,,Coordinate recall or market withdrawal activities as necessary.,Core
174,18052,Regulatory Affairs Specialists,0,,"Advise project teams on subjects such as premarket regulatory requirements, export and labeling requirements, or clinical study compliance issues.",Core
175,18070,Regulatory Affairs Specialists,1,,Review adverse drug reactions and file all related reports in accordance with regulatory agency guidelines.,Core
176,18051,Regulatory Affairs Specialists,1,,"Review product promotional materials, labeling, batch records, specification sheets, or test methods for compliance with applicable regulations and policies.",Core
177,21094,Regulatory Affairs Specialists,1,,"Identify relevant guidance documents, international standards, or consensus standards.",Core
178,18050,Regulatory Affairs Specialists,1,,"Provide technical review of data or reports to be incorporated into regulatory submissions to assure scientific rigor, accuracy, and clarity of presentation.",Core
179,18065,Regulatory Affairs Specialists,1,,Review clinical protocols to ensure collection of data needed for regulatory submissions.,Core
180,21095,Regulatory Affairs Specialists,1,,"Provide pre-, ongoing, and post-inspection follow-up assistance to governmental inspectors.",Core
181,18058,Regulatory Affairs Specialists,1,,"Maintain current knowledge base of existing and emerging regulations, standards, or guidance documents.",Core
182,18063,Regulatory Affairs Specialists,1,,Recommend changes to company procedures in response to changes in regulations or standards.,Core
183,18060,Regulatory Affairs Specialists,1,,Participate in internal or external audits.,Core
184,18053,Regulatory Affairs Specialists,1,,Compile and maintain regulatory documentation databases or systems.,Core
185,18066,Regulatory Affairs Specialists,1,,"Write or update standard operating procedures, work instructions, or policies.",Core
186,18059,Regulatory Affairs Specialists,1,,"Obtain and distribute updated information regarding domestic or international laws, guidelines, or standards.",Core
187,18068,Regulatory Affairs Specialists,1,,Develop or track quality metrics.,Core
188,18056,Regulatory Affairs Specialists,0,,Develop or conduct employee regulatory training.,Core
189,21096,Regulatory Affairs Specialists,1,,Recommend adjudication of product complaints.,Core
190,19553,Regulatory Affairs Specialists,1,,"Determine requirements applying to treatment, storage, shipment, or disposal of potentially hazardous production-related waste.",Supplemental
191,18064,Regulatory Affairs Specialists,1,,"Prepare responses to customer requests for information, such as product data, written regulatory affairs statements, surveys, or questionnaires.",Supplemental
192,19557,Regulatory Affairs Specialists,1,,"Specialize in regulatory issues related to agriculture, such as the cultivation of green biotechnology crops or the post-market regulation of genetically altered crops.",Supplemental
193,19552,Regulatory Affairs Specialists,1,,"Determine regulations or procedures related to the management, collection, reuse, recovery, or recycling of packaging waste.",Supplemental
194,19554,Regulatory Affairs Specialists,1,,"Determine the legal implications of the production, supply, or use of ozone-depleting substances or equipment containing such substances.",Supplemental
195,19556,Regulatory Affairs Specialists,0,,Obtain clearances for the use of recycled plastics in product packaging.,Supplemental
196,19555,Regulatory Affairs Specialists,1,,Monitor national or international legislation on ozone-depleting substances or global warming.,Supplemental
197,15945,Customs Brokers,1,,"Prepare and process import and export documentation according to customs regulations, laws, or procedures.",Core
198,15946,Customs Brokers,0,,Clear goods through customs and to their destinations for clients.,Core
199,15936,Customs Brokers,0,,"Pay, or arrange for payment of, taxes and duties on shipments.",Core
200,15942,Customs Brokers,0,,Calculate duty and tariff payments owed on shipments.,Core
201,15932,Customs Brokers,1,,"Request or compile necessary import documentation, such as customs invoices, certificates of origin, and cargo-control documents.",Core
202,15941,Customs Brokers,1,,Classify goods according to tariff coding system.,Core
203,15933,Customs Brokers,1,,"Stay abreast of changes in import or export laws or regulations by reading current literature, attending meetings or conferences, or conferring with colleagues.",Core
204,15924,Customs Brokers,1,,"Sign documents on behalf of clients, using powers of attorney.",Core
205,15944,Customs Brokers,0,,"Advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters.",Core
206,15926,Customs Brokers,0,,Post bonds for the products being imported or assist clients in obtaining bonds.,Core
207,15934,Customs Brokers,1,,"Quote duty and tax rates on goods to be imported, based on federal tariffs and excise taxes.",Core
208,15930,Customs Brokers,0,,"Arrange for transportation, warehousing, or product distribution of imported or exported products.",Core
209,15937,Customs Brokers,0,,Monitor or trace the location of goods.,Core
210,15940,Customs Brokers,0,,Confer with officials in various agencies to facilitate clearance of goods through customs and quarantine.,Core
211,15939,Customs Brokers,0,,Inform importers and exporters of steps to reduce duties and taxes.,Core
212,15928,Customs Brokers,0,,"Obtain line releases for frequent shippers of low-risk commodities, high-volume entries, or multiple-container loads.",Core
213,15925,Customs Brokers,0,,"Provide advice on transportation options, types of carriers, or shipping routes.",Core
214,15929,Customs Brokers,0,,Contract with freight forwarders for destination services.,Core
215,15943,Customs Brokers,1,,Apply for tariff concessions or for duty drawbacks and other refunds.,Core
216,15927,Customs Brokers,1,,"Insure cargo against loss, damage, or pilferage.",Core
217,15935,Customs Brokers,1,,Prepare papers for shippers to appeal duty charges.,Core
218,15931,Customs Brokers,1,,Suggest best methods of packaging or labeling products.,Supplemental
219,15938,Customs Brokers,0,,Maintain relationships with customs brokers in other ports to expedite clearing of cargo.,Supplemental
220,20846,Cost Estimators,1,,Collect historical cost data to estimate costs for current or future products.,Core
221,82,Cost Estimators,0,,"Consult with clients, vendors, personnel in other departments, or construction foremen to discuss and formulate estimates and resolve issues.",Core
222,84,Cost Estimators,1,,"Prepare estimates used by management for purposes such as planning, organizing, and scheduling work.",Core
223,80,Cost Estimators,1,,"Analyze blueprints and other documentation to prepare time, cost, materials, and labor estimates.",Core
224,83,Cost Estimators,0,,"Confer with engineers, architects, owners, contractors, and subcontractors on changes and adjustments to cost estimates.",Core
225,81,Cost Estimators,1,,"Assess cost effectiveness of products, projects or services, tracking actual costs relative to bids as the project develops.",Core
226,85,Cost Estimators,1,,Prepare estimates for use in selecting vendors or subcontractors.,Core
227,89,Cost Estimators,0,,Set up cost monitoring and reporting systems and procedures.,Core
228,90,Cost Estimators,0,,"Establish and maintain tendering process, and conduct negotiations.",Core
229,88,Cost Estimators,1,,"Prepare and maintain a directory of suppliers, contractors and subcontractors.",Core
230,86,Cost Estimators,1,,Review material and labor requirements to decide whether it is more cost-effective to produce or purchase components.,Core
231,91,Cost Estimators,0,,Conduct special studies to develop and establish standard hour and related cost data or to reduce cost.,Core
232,87,Cost Estimators,1,,Prepare cost and expenditure statements and other necessary documentation at regular intervals for the duration of the project.,Supplemental
233,92,Cost Estimators,0,,"Visit site and record information about access, drainage and topography, and availability of utility services.",Supplemental
234,18861,Human Resources Specialists,1,,"Interpret and explain human resources policies, procedures, laws, standards, or regulations.",Core
235,18859,Human Resources Specialists,0,,Hire employees and process hiring-related paperwork.,Core
